course,datetime,action,information,anoname,ip_address
CSBBB-2014B,2023 January 09 05:17,registration,,Female#236161,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,forumng,,Male#705379,X.Y.Z
CSBBB-2014J,2023 January 09 05:14,registration,,Male#697574,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,homepage,,Female#2550279,X.Y.Z
CSBBB-2013B,2023 May 12 05:11,assessment,TMA,Female#500815,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,subpage,,Male#291334,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,resource,,Male#1860318,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#2411778,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,forumng,,Female#2369266,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,forumng,,Male#978739,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,url,,Male#271251,X.Y.Z
CSBBB-2013B,2023 February 19 05:11,assessment,TMA,Male#2481224,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,homepage,,Female#368194,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#543351,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#404804,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Female#2639540,X.Y.Z
CSBBB-2013B,2023 April 22 05:11,assessment,TMA,Female#550597,X.Y.Z
CSBBB-2013B,2023 March 11 05:11,assessment,TMA,Female#485399,X.Y.Z
CSAAA-2014J,2023 August 09 05:11,assessment,TMA,Male#2240349,X.Y.Z
CSAAA-2014J,2023 January 28 05:11,assessment,TMA,Male#401404,X.Y.Z
CSAAA-2014J,2023 June 27 05:11,assessment,TMA,Male#199636,X.Y.Z
CSBBB-2013B,2023 April 07 05:11,assessment,TMA,Male#552273,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#481607,X.Y.Z
CSAAA-2014J,2023 June 24 05:11,assessment,TMA,Male#335247,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#2336550,X.Y.Z
CSBBB-2013B,2023 January 09 05:17,registration,,Female#556840,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#704156,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,forumng,,Male#296332,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Male#106577,X.Y.Z
CSAAA-2013J,2023 March 04 05:11,assessment,TMA,Female#2339528,X.Y.Z
CSBBB-2013B,2023 May 12 05:11,assessment,TMA,Female#558066,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,oucontent,,Male#2557283,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Male#1765788,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Male#305386,X.Y.Z
CSBBB-2013B,2023 April 08 05:11,assessment,TMA,Female#2384819,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#522090,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#83254,X.Y.Z
CSBBB-2014J,2023 January 09 05:14,registration,,Female#689230,X.Y.Z
CSBBB-2013B,2023 April 08 05:11,assessment,TMA,Male#350795,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#227517,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#442012,X.Y.Z
CSBBB-2013B,2023 May 31 05:11,assessment,TMA,Female#199520,X.Y.Z
CSAAA-2014J,2023 June 24 05:11,assessment,TMA,Male#2434159,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,forumng,,Male#63400,X.Y.Z
CSBBB-2013B,2023 April 08 05:11,assessment,TMA,Female#74734,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#502604,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,resource,,Female#2594139,X.Y.Z
CSBBB-2013B,2023 June 15 05:11,assessment,TMA,Female#558099,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#294961,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#255998,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,url,,Male#104476,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#248103,X.Y.Z
CSBBB-2013B,2023 April 08 05:11,assessment,TMA,Female#2680770,X.Y.Z
