
MFF	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and	Other
ANB	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MU	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
KK	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and	Other
SA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MFF	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and	Other
ANB	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MU	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and	Other
SA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
KK	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


MA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MH	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MH	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


SA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and	Other
SA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


NSC	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and NSC	Other
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


AHK	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and	Other
AHK	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


UUH	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and	Other
AS	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and UUH	Other
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB )	LogResource
and	Other
AS	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


KK	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
HM	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
HM	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
DA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


DA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
