
MFF	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and ANB enrolled to CS260 Human Computer Interaction ( BSCS - 3AB ) and MU enrolled to CS260 Human Computer Interaction ( BSCS - 3AB ) and KK enrolled to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
SA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MFF	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
ANB	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MU	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
SA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
KK	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


MA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and MH enrolled to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
MH	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


SA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
SA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


NSC	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
NSC	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


AHK	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and AHK enrolled to CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


UUH	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and AS enrolled to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
UUH	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
AS	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


KK	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
HM	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) and HM enrolled to CS260 Human Computer Interaction ( BSCS - 3AB ) and DA enrolled to CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


DA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
DA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction ( BSCS - 3AB ) .	LogResource


SMH	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction ( BSCS - 3AB ) and	LogResource
SMH	LogUser
has viewed	LogAction
course	LogInformation
