which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
MMF,                                       	LogUser
ANB,                                       	LogUser
MU,                                        	LogUser
SA,                                        	LogUser
KK                                         	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
MA,                                        	LogUser
MH                                         	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
SA                                         	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
NSC                                        	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
AHK                                        	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
UUH                                        	LogUser
or                                         	Other
AS                                         	LogUser

who                                        	Other
are enrolled                               	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

who                                        	Other
is enrolled                                	LogAction
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
KK                                         	LogUser
or                                         	Other
HM                                         	LogUser
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
DA                                         	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
SMH                                        	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
w                                          	LogUser
MFF                                        	LogUser
and                                        	Other
ANB                                        	LogUser

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
HS,                                        	LogUser
KAP,                                       	LogUser
MAZ,                                       	LogUser
HK                                         	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
w                                          	Other
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
HM                                         	LogUser
or                                         	Other
MA                                         	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
MMA                                        	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
MS                                         	LogUser

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation

who                                        	Other
is enrolled                                	LogAction
to                                         	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
has viewed                                 	LogAction
this                                       	Other
course                                     	LogInformation

which                                      	Other
course                                     	LogInformation
has been viewed                            	LogAction
by                                         	Other
MS                                         	LogUser
and                                        	Other
MA                                         	LogUser

Which                                      	Other
course                                     	LogInformation
SA                                         	LogUser
has he viewed                              	LogAction

Which                                      	Other
course                                     	LogInformation
has                                        	LogAction
UZ                                         	LogUser
viewed                                     	LogAction

Which                                      	Other
course                                     	LogInformation
has                                        	LogAction
SA                                         	LogUser
viewed                                     	LogAction

who                                        	Other
has viewed                                   	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation

Which                                      	Other
course                                     	LogInformation
has                                        	LogAction
MS                                         	LogUser
viewed                                     	LogAction

who                                        	Other
has viewed                                   	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation

Who                                        	Other
has viewed                                 	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
at                                         	Other
which                                      	Other
time                                       	Other

Who                                        	Other
viewed                                     	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource

Which                                      	Other
course                                     	LogInformation
been viewed                                	LogAction
by                                         	Other
AM                                         	LogUser

Who                                        	Other
viewed                                     	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource

Which                                      	Other
course                                     	LogInformation
been viewed                                	LogAction
by                                         	Other
UZ                                         	LogUser

Who                                        	Other
viewed                                     	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource

Which                                      	Other
course                                     	LogInformation
been viewed                                	LogAction
by                                         	Other
HM                                         	LogUser

Who                                        	Other
viewed                                     	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource

Which                                      	Other
course                                     	LogInformation
been viewed                                	LogAction
by                                         	Other
HMA                                        	LogUser

Who                                        	Other
viewed                                     	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource

at which                                   	Other
time                                       	Other
HM                                         	LogUser
viewed                                     	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation

who                                        	Other
viewed                                     	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
5 times                                    	Other

at which time                              	Other
HM                                         	LogUser
attended                                   	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation

who                                        	Other
attended                                   	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
5 times                                    	Other

Who                                        	Other
viewed                                     	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation
and                                        	Other
the                                        	Other
course                                     	LogInformation

Which                                      	Other
course                                     	LogInformation
been viewed                                	LogAction
by                                         	Other
MH                                         	LogUser

Who                                        	Other
viewed                                     	LogAction
the                                        	Other
CS260 Human Computer Interaction(BSCS-3AB) 	LogResource
course                                     	LogInformation

