
which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by MMF , ANB , MU , SA , KK ?	LogUser


who	Other
are	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by MA , MH ?	LogUser


who	Other
are	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by SA ?	LogUser


who	Other
are	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by NSC ?	LogUser


who	Other
are	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by AHK ?	LogUser


who	Other
are	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by UUH or AS ?	LogUser


who	Other
are	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by KK	LogUser
or	Other
HM ?	LogUser


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by DA ?	LogUser


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by	Other
SMH ?	LogUser


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by MFF	LogUser
and	Other
ANB ?	LogUser


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by	Other
HS / KAP / MAZ / HK ?	LogUser


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by	Other
HM or MA ?	LogUser


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by MMA ?	LogUser


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by MS ?	LogUser


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


which	Other
course	LogInformation
has	LogAction
been	Other
viewed	LogAction
by MS	LogUser
and	Other
MA ?	LogUser


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
?	Other


who	Other
is	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer	LogResource
Interaction ( BSCS - 3AB )	LogUser
course	LogInformation
and	Other
has viewed	LogAction
this	Other
course	LogInformation
?	Other


Which	Other
course	LogInformation
MS	LogUser
and	Other
MA	LogUser
have	LogAction
they	Other
viewed	LogAction
and to which	Other
MA	LogUser
enrolled	LogAction
?	LogUser


Which	Other
course	LogInformation
AS	LogUser
has	LogAction
he	LogUser
viewed	LogAction
?	LogUser


Which	Other
course	LogInformation
has	LogAction
AM	LogUser
enrolled	LogAction
to and that	Other
AM	LogUser
viewed	LogAction
?	LogUser


Wich	LogUser
course	LogInformation
SA	LogUser
and	Other
KK	LogUser
have	LogAction
they	Other
viewed	LogAction
?	LogUser


Who	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and who	Other
viewed	LogAction
it ?	LogUser


Who	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and who	Other
viewed	LogAction
it ?	LogUser


Which	Other
course	LogInformation
has	LogAction
AS	LogUser
viewed	LogAction
?	LogUser


Which	Other
course	LogInformation
HM	Other
has	LogAction
he	LogUser
viewed	LogAction
?	LogUser


Who	LogUser
has viewed	LogAction
the	Other
CS260 Human	LogResource
computer	LogInformation
Interaction	LogAction
and who	Other
enrolled	LogAction
to it	Other
?	LogUser


Which	Other
course	LogInformation
has	LogAction
SA	LogUser
viewed	LogAction
?	LogUser


Which	Other
course	LogInformation
has	LogAction
SA	LogUser
viewed	LogAction
?	LogUser


Which	Other
course	LogInformation
has	LogAction
KK	LogUser
viewed	LogAction
?	LogUser


Which	Other
course	LogInformation
has	LogAction
KK	LogUser
viewed	LogAction
?	LogUser


Which	Other
course	LogInformation
has	LogAction
NSC	LogUser
viewed	LogAction
