MFF	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
ANB	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
MU	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
KK	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
SA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction	LogResource
and	Other
MFF	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	Other
ANB	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	Other
MU	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	Other
SA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	other
KK	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction.	LogResource


MA	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
MH	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
MA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	Other
MH	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource


SA	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
SA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource


NSC	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
NSC	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource


AHK	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	Other
AHK	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource


UUH	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
AS	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
UUH	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	Other
AS	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource


KK	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	Other
HM	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	Other
HM	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction	LogResource
and	Other
DA	LogUser
enrolled	LogAction
to CS260 Human Computer Interaction	LogResource


DA	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
DA	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource


SMH	LogUser
enrolled	LogAction
to	Other
CS260 Human Computer Interaction	LogResource
and	Other
SMH	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource


MFF	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource
and	Other
ANB	LogUser
has viewed	LogAction
course	LogInformation
CS260 Human Computer Interaction	LogResource


HS	LogUser
enrolled	LogAction
to	Other
